EVA2_5_IN_HAVING

MySQL Shell 8.0.38

Copyright (c) 2016, 2024, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 8
Server version: 8.0.39 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > use sakila
Default schema set to `sakila`.
Fetching global names, object names from `sakila` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  sakila  SQL > use sakila;
Default schema set to `sakila`.
Fetching global names, object names from `sakila` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  sakila  SQL > select count(*) from payment;
+----------+
| count(*) |
+----------+
|    16044 |
+----------+
1 row in set (0.0314 sec)
 MySQL  localhost:3306 ssl  sakila  SQL > desc payment;
+--------------+-------------------+------+-----+-------------------+-----------------------------------------------+
| Field        | Type              | Null | Key | Default           | Extra                                         |
+--------------+-------------------+------+-----+-------------------+-----------------------------------------------+
| payment_id   | smallint unsigned | NO   | PRI | NULL              | auto_increment                                |
| customer_id  | smallint unsigned | NO   | MUL | NULL              |                                               |
| staff_id     | tinyint unsigned  | NO   | MUL | NULL              |                                               |
| rental_id    | int               | YES  | MUL | NULL              |                                               |
| amount       | decimal(5,2)      | NO   |     | NULL              |                                               |
| payment_date | datetime          | NO   |     | NULL              |                                               |
| last_update  | timestamp         | YES  |     | CURRENT_TIMESTAMP | DEFAULT_GENERATED on update CURRENT_TIMESTAMP |
+--------------+-------------------+------+-----+-------------------+-----------------------------------------------+
7 rows in set (0.0042 sec)
 MySQL  localhost:3306 ssl  sakila  SQL > select sum(amount) as total, customer_id
                                       -> from payment
                                       -> group by customer_id;
+--------+-------------+
| total  | customer_id |
+--------+-------------+
| 118.68 |           1 |
| 128.73 |           2 |
| 135.74 |           3 |
|  81.78 |           4 |
| 144.62 |           5 |
|  93.72 |           6 |
| 151.67 |           7 |
|  92.76 |           8 |
|  89.77 |           9 |
|  99.75 |          10 |
| 106.76 |          11 |
| 103.72 |          12 |
| 131.73 |          13 |
| 117.72 |          14 |
| 134.68 |          15 |
| 118.72 |          16 |
|  98.79 |          17 |
|  91.78 |          18 |
| 125.76 |          19 |
| 115.70 |          20 |
| 155.65 |          21 |
| 113.78 |          22 |
| 119.70 |          23 |
|  95.75 |          24 |
| 115.71 |          25 |
| 152.66 |          26 |
| 126.69 |          27 |
| 111.68 |          28 |
| 140.64 |          29 |
| 123.66 |          30 |
| 104.74 |          31 |
| 127.71 |          32 |
|  91.79 |          33 |
|  89.76 |          34 |
| 129.68 |          35 |
|  92.73 |          36 |
|  95.77 |          37 |
| 127.66 |          38 |
| 141.71 |          39 |
| 110.73 |          40 |
| 118.75 |          41 |
| 117.70 |          42 |
|  99.76 |          43 |
| 114.74 |          44 |
| 127.73 |          45 |
| 142.66 |          46 |
| 108.78 |          47 |
|  76.83 |          48 |
| 130.72 |          49 |
| 169.65 |          50 |
| 138.67 |          51 |
| 107.71 |          52 |
| 115.70 |          53 |
| 128.71 |          54 |
| 100.78 |          55 |
| 135.70 |          56 |
| 114.72 |          57 |
| 115.73 |          58 |
| 133.73 |          59 |
|  98.75 |          60 |
|  58.86 |          61 |
|  84.77 |          62 |
| 112.75 |          63 |
| 100.67 |          64 |
| 103.78 |          65 |
| 144.66 |          66 |
|  99.78 |          67 |
|  94.78 |          68 |
|  96.75 |          69 |
|  80.82 |          70 |
| 129.70 |          71 |
|  99.70 |          72 |
|  97.76 |          73 |
| 103.73 |          74 |
| 155.59 |          75 |
|  77.77 |          76 |
| 100.72 |          77 |
| 141.69 |          78 |
|  84.78 |          79 |
| 137.70 |          80 |
|  93.78 |          81 |
| 130.74 |          82 |
| 101.75 |          83 |
| 141.67 |          84 |
|  87.77 |          85 |
| 148.67 |          86 |
| 145.70 |          87 |
|  87.79 |          88 |
| 134.68 |          89 |
| 110.72 |          90 |
| 113.65 |          91 |
| 133.72 |          92 |
|  91.77 |          93 |
|  79.79 |          94 |
|  77.82 |          95 |
| 105.73 |          96 |
|  58.82 |          97 |
| 106.75 |          98 |
|  91.76 |          99 |
| 102.76 |         100 |
|  96.76 |         101 |
| 137.67 |         102 |
| 146.69 |         103 |
|  92.76 |         104 |
| 120.74 |         105 |
| 100.77 |         106 |
| 126.70 |         107 |
| 132.70 |         108 |
| 107.74 |         109 |
|  59.86 |         110 |
|  97.74 |         111 |
| 133.70 |         112 |
| 113.71 |         113 |
| 139.67 |         114 |
|  91.70 |         115 |
| 111.73 |         116 |
|  71.81 |         117 |
|  82.79 |         118 |
| 153.66 |         119 |
| 143.68 |         120 |
| 109.74 |         121 |
| 126.68 |         122 |
| 100.76 |         123 |
|  73.82 |         124 |
| 135.68 |         125 |
